Batch,Pool Type," To (In Parallel)",d 90%-Take/10%-Give (In Parallel),d 50%-Take/50%-Give (In Parallel),d 10%-Take/90%-Give (In Parallel),L,
Repeat 2400000 for size 4,Microsoft.Extensions.ObjectPool.DefaultObjectPool,00:00:04.6806830,00:00:04.6583573,00:00:04.5553516,00:00:04.5907984,00:00:18.4851903,
Repeat 2400000 for size 4,ConcurrentQueueObjectPoolSlim,00:00:04.6434921,00:00:04.6168234,00:00:04.5416934,00:00:04.5484522,00:00:18.3504611,
Repeat 2400000 for size 4,ConcurrentQueueObjectPool,00:00:04.6675084,00:00:04.7225567,00:00:04.6075077,00:00:04.6475008,00:00:18.6450736,
Repeat 2400000 for size 4,OptimisticArrayObjectPool,00:00:04.4477417,00:00:04.5492105,00:00:04.4136180,00:00:04.4211642,00:00:17.8317344,
Repeat 2400000 for size 4,InterlockedArrayObjectPool,00:00:04.6062887,00:00:04.6160379,00:00:04.5198815,00:00:04.5427923,00:00:18.2850004,
Repeat 960000 for size 10,Microsoft.Extensions.ObjectPool.DefaultObjectPool,00:00:02.9357977,00:00:02.8557461,00:00:02.7329589,00:00:02.8748652,00:00:11.3993679,
Repeat 960000 for size 10,ConcurrentQueueObjectPoolSlim,00:00:02.9089273,00:00:03.0068183,00:00:02.9061875,00:00:02.9211530,00:00:11.7430861,
Repeat 960000 for size 10,ConcurrentQueueObjectPool,00:00:02.9752786,00:00:03.0213148,00:00:02.9525180,00:00:02.9666653,00:00:11.9157767,
Repeat 960000 for size 10,OptimisticArrayObjectPool,00:00:02.9220788,00:00:03.0495182,00:00:02.8634061,00:00:02.9117262,00:00:11.7467293,
Repeat 960000 for size 10,InterlockedArrayObjectPool,00:00:03.0736469,00:00:03.0757118,00:00:02.9158325,00:00:03.0132024,00:00:12.0783936,
Repeat 288000 for size 50,Microsoft.Extensions.ObjectPool.DefaultObjectPool,00:00:04.6116279,00:00:01.4271008,00:00:01.1995458,00:00:03.8620274,00:00:11.1003019,
Repeat 288000 for size 50,ConcurrentQueueObjectPoolSlim,00:00:01.6053882,00:00:01.5539986,00:00:01.3297930,00:00:01.4265693,00:00:05.9157491,
Repeat 288000 for size 50,ConcurrentQueueObjectPool,00:00:01.6341590,00:00:01.5788351,00:00:01.3905222,00:00:01.4808920,00:00:06.0844083,
Repeat 288000 for size 50,OptimisticArrayObjectPool,00:00:01.5190463,00:00:01.5950048,00:00:01.2525564,00:00:01.3887756,00:00:05.7553831,
Repeat 288000 for size 50,InterlockedArrayObjectPool,00:00:01.9498678,00:00:01.6175048,00:00:01.2955638,00:00:01.7124882,00:00:06.5754246,
Repeat 192000 for size 100,Microsoft.Extensions.ObjectPool.DefaultObjectPool,00:00:07.5978322,00:00:01.6466424,00:00:01.0579968,00:00:05.9963234,00:00:16.2987948,
Repeat 192000 for size 100,ConcurrentQueueObjectPoolSlim,00:00:02.1198723,00:00:01.7900611,00:00:01.3785010,00:00:01.6728172,00:00:06.9612516,
